Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
76,RR-06,150.245,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
77,RR-07,150.26,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
78,RR-08,150.32,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
79,RR-09,150.365,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
80,RR-10,150.41,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
81,RR-11,150.44,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
82,RR-12,150.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
83,RR-13,150.53,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
84,RR-14,150.545,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
85,RR-15,150.56,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
86,RR-16,150.59,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
87,RR-17,150.68,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
88,RR-18,150.71,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
89,RR-19,150.77,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
90,RR-20,150.83,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
91,RR-21,151.01,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
92,RR-22,151.13,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
93,RR-23,151.19,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
94,RR-24,151.22,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
95,RR-25,151.31,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
96,RR-26,151.34,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
97,RR-27,151.37,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
98,RR-28,151.43,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
99,RR-29,151.46,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
100,RR-30,151.49,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
101,RR-31,151.52,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
102,RR-32,151.58,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
103,RR-33,151.61,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
104,RR-34,151.64,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
105,RR-35,151.67,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
106,LD-1,151.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
107,LD-2,151.745,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
108,LD-3,151.79,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
109,LD-4,151.805,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
110,LD-5,151.85,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
111,PEP-1,149.495,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
112,PEP-2,149.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
113,PEPCORD,148.655,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
114,PEP EP,148.685,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
115,UHF-PEP,462.95,,0,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
116, HAM 1,146.415,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
117, HAM 2,146.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
118, HAM 3,446.125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
119, HAM 4,446.15,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,S,4.0W,,,,,
