Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
28,GMR-02,462.5875,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
29,GMR-03,462.6125,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
30,GMR-04,462.6375,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
31,GMR-05,462.6625,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
32,GMR-06,462.6875,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
33,GMR-07,462.7125,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
34,FRS-08,467.5625,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
35,FRS-09,467.5875,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
36,FRS-10,467.6125,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
37,FRS-11,467.6375,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
38,FRS-12,467.6625,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
39,FRS-13,467.6875,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
40,FRS-14,467.7125,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
41,GMR-15,462.55,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
42,GMR-16,462.575,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
43,GMR-17,462.6,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
44,GMR-18,462.625,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
45,GMR-19,462.65,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
46,GMR-20,462.675,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
47,GMR-21,462.7,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
48,GMR-22,462.725,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,1.0W,Walkie Talkie Channels,,,,
49,SEYMOUR,146.94,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
50,MTDOUG,145.29,-,0.6,Tone,167.9,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
51,CRERCC,146.98,-,0.6,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
52,MAL-RP,145.43,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
53,VIC-RP,146.84,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
54,CHEM-IT,146.68,-,0.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
55,NAN-IT,145.43,-,0.6,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
56,PALB-IT,147.15,-,0.6,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
57,TOFIN-I,146.88,-,0.6,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
58,COUR-IT,443.7,+,5,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
59,CAMR-IT,146.82,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
60,SAYW-IT,146.7,-,0.6,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
61,WOSS-IT,146.88,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
62,MCNL-IT,146.94,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
63,SURREY,147.36,+,0.6,Tone,110.9,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
64,ABBOTFD,146.61,-,0.6,Tone,110.9,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
65,VE7NSR,147.26,+,0.6,Tone,156.7,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
66,CHILLWK,145.11,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
67,HOPE,147.08,+,0.6,Tone,110.9,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
68,PRINCET,442.55,+,5,Tone,110.9,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
69,OSOYOOS,145.15,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
70,GFORKS,146.94,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
71,NELSON,146.64,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
72,KOOT-LK,147.06,-,0.6,Tone,100,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
73,WFP,170.415,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
74,NIXON,158.19,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
75,RR-01,150.08,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
76,RR-02,150.11,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
77,RR-03,150.14,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
78,RR-04,150.185,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
79,RR-05,150.2,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
80,RR-06,150.245,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
81,RR-07,150.26,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
82,RR-08,150.32,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
83,RR-09,150.365,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
84,RR-10,150.41,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
85,RR-11,150.44,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
86,RR-12,150.5,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
87,RR-13,150.53,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
88,RR-14,150.545,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
89,RR-15,150.56,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
90,RR-16,150.59,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
91,RR-17,150.68,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
92,RR-18,150.71,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
93,RR-19,150.77,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
94,RR-20,150.83,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
95,RR-21,151.01,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
96,RR-22,151.13,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
97,RR-23,151.19,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
98,RR-24,151.22,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
99,RR-25,151.31,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
100,RR-26,151.34,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
101,RR-27,151.37,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
102,RR-28,151.43,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
103,RR-29,151.46,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
104,RR-30,151.49,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
105,RR-31,151.52,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
106,RR-32,151.58,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
107,RR-33,151.61,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
108,RR-34,151.64,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
109,RR-35,151.67,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
110,LD-1,151.7,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
111,LD-2,151.745,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
112,LD-3,151.79,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
113,LD-4,151.805,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
114,LD-5,151.85,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,,4.0W,,,,,
115,PEP-1,149.495,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
116,PEP-2,149.525,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
117,PEPCORD,148.655,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
118,PEP EP,148.685,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
119,UHF-PEP,462.95,,0,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
120, HAM 1,146.415,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
121, HAM 2,146.55,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
122, HAM 3,446.125,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
123, HAM 4,446.15,,0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5,S,4.0W,,,,,
